label toxic,testo spagnolo,testo tradotto dallo spagnolo,Spiegazione,Violenza,Comportamento fisico ,Tipo di comportamento  fisico ,Comportamento cyber ,Tipo di comportamento cyber,Comunicazione Aggressiva,Tipo di comunicazione aggressiva,Classi su singola colonna +  classificazione chatgpt,Classi su singola colonna,"note: tra parentesi è posta la classificazione di ChatGPT quando discordante da quella umana.             Invece, nel campo ""spiegazione"" tra parentesi è posta la spiegazione fornita da chatGPT sul perché la frase è tossica."
1,Lo pongo nervioso y por eso a veces me empuja o me agarra fuerte,Lo faccio innervosire e per questo qualche volta mi spinge o mi afferra forte.,Questa frase è tossica perché è un esempio di violenza fisica. C'è un uso volontario della forza che potenzialmente causa danno e ferite al proprio partner.,1,1,A,0,0,0(1),0(D),1 1 A 0 0 0(1) 0(D),1 1 A 0 0 0 0,
1,"Aunque le diga que no, dice que si que quiero y me tengo que dejar follar","Anche se dico di no, lui dice che lo voglio e che devo lasciarmi scopare.","Questa frase è tossica perché è un esempio di violenza fisica di tipo sessuale, cioè include tentativi di atti o atti sessuali senza il consenso del partner. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte e minacciosa.",1,1,B,0,0,1,D,1 1 B 0 0 1 D,1 1 B 0 0 1 D,
1,No salgas con tus amigas que son unas guarras.,"Non uscire con le tue amiche, sono delle troie.","Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco ad altre persone in maniera rabbiosa, rude, forte, irrispettosa e volgare mediante l'uso di una espressione sconcia. Infine si cerca di controllare la vittima, dandole un ordine, ledendo così la sua libertà personale.",1,1(0),C(0),0,0,1,C(E),1 1(0) C(0) 0 0 1 C(E),1 1 C 0 0 1 C,
0,Subo una foto en bikini y le da a me gusta.,Mette like se posto una foto in bikini.,,0,0,0,0(1),0(C),0,0,,,
0,Mi novia piensa que limpiar no es cosa de hombres o mujeres.,La mia ragazza pensa che pulire non sia una cosa da uomini o donne.,,0,0,0,0,0,0,0,,,
0,Cuando me emociono mi novia me entiende.,"Quando mi commuovo, la mia ragazza mi capisce.",,0,0,0,0,0,1(0),B(0),,,
0,Tu hazte fotos con quien quieras y súbelas.,Fai foto con chi vuoi e postale.,,0,0,0,1(0),C(0),0,0,,,
0,Cuando se estropea algo lo arregla el que tenga tiempo libre o sepa.,"Quando qualcosa si rompe, lo ripara chi ha tempo libero o sa farlo.",,0,0,0,0,0,0,0,,,
0,"Si le pregunto, me dice si le gusta o no lo que llevo.","Se glielo chiedo, mi dice se gli piace o no quello che indosso.",,0,0,0,0,0,0,0,,,
0,No está todo el tiempo pendiente de mi.,Non mi sta sempre addosso per controllarmi.,,0,1(0),D(0),0,0,0,0,,,
0,"Yo en mi insta subo fotos con quien quiero, mi novia no se enfada o me dice algo","Su Instagram carico foto con chi voglio, la mia ragazza non si arrabbia e non mi critica.",,0,0,0,1(0),C(0),0,0,,,
0,A los dos se nos da bien limpiar.,Entrambi siamo bravi a pulire.,,0,0,0,0,0,0,0,,,
0,Nos repartimos el trabajo en casa.,Ci dividiamo il lavoro in casa.,,0,0,0,0,0,0,0,,,
0,"Por muy alterado que se ponga, jamás me falta al respeto","Anche se si arrabbia, non mi manca mai di rispetto.",,0,0,0,0,0,1(0),E(0),,,
0,Cuando digo que no me apetece follar no insiste ni se enfada,"Quando dico che non ho voglia di fare sesso, non insiste né si arrabbia.",,0,1(0),B(0),0,0,0,0,,,
0,"Salgo con mis amigas y ella no está pendiente de mi, son mis amigas","Esco con i miei amici e lei non mi controlla, sono i miei amici.",,0,1(0),D(0),0,0,0,0,,,
1,Tu no eres nada ni nadie sin mi,Tu non sei niente senza di me.,"Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. In particolare, suggerisce che il valore del proprio partner dipenda interamente dall'altra persona, creando dipendenza emotiva e auto-stima condizionata. Inoltre, implica un senso di superiorità da parte di colui che la pronuncia, sottolineando un controllo e un potere sulla vita e sull'identità dell'altra persona.",1,1(0),C(0),0,0,0,0,1 1(0) C(0) 0 0 0 0,1 1 C 0 0 0 0,
0,Eres todo lo que quierer conmigo y sin mi,Puoi essere tutto ciò che vuoi con me e senza di me,,0,0,0,0,0,1(0),E(0),,,
1,Cuanto tiempo tiempo vas a tardar en responderme? mejor no hablarte,Quanto tempo ci metti a rispondermi? È meglio non parlare con te.,"Questa frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, pone l'enfasi sulla rapidità della risposta come un requisito fondamentale per la validità della comunicazione, ignorando la possibilità di impegni o ritardi legittimi. Inoltre, l'implicita minaccia di interrompere la comunicazione se la risposta non è tempestiva mette in atto una forma di coercizione emotiva, manipolando l'interlocutore per ottenere ciò che si desidera. Questo tipo di dinamica danneggia la fiducia e il rispetto reciproci, e può portare a una comunicazione insana e stressante.",1,0,0,1,C,0,0,1 0 0 1 C 0 0,1 0 0 1 C 0 0,
1,No quiero que salgas con tus amigos,Non voglio che esci con i tuoi amici.,"Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. In particolare, implica che una persona vuole limitare la libertà e l'autonomia del partner, decidendo quali relazioni sociali può avere. Questo tipo di comportamento può portare a isolamento sociale, riducendo il benessere emotivo della persona soggetta al controllo. Inoltre, può minare la fiducia e il rispetto reciproco all'interno della relazione, generando tensioni e conflitti.",1,1(0),C(0),0,0,0(1),0(E),1 1(0) C(0) 0 0 0(1) 0(E),1 1 C 0 0 0 0,
1,Si sales te vienes a la misma hora que yo,"Se esci, devi tornare alla stessa ora in cui torno io.","Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. In particolare, stabilire un orario specifico entro cui il partner deve rientrare limita la libertà individuale e l'autonomia, negando la possibilità di fare scelte personali riguardo al tempo trascorso fuori casa. Questo tipo di comportamento può generare risentimento, frustrazione e una sensazione di essere imprigionati nella relazione. Inoltre, suggerisce una mancanza di fiducia nel partner, creando una dinamica dannosa basata sul controllo anziché sulla fiducia reciproca e sulla comunicazione aperta.",1,1(0),C(0),0,0,0(1),0(D),1 1(0) C(0) 0 0 0(1) 0(D),1 1 C 0 0 0 0,
1,Esa fotos que subes son para provocar,Le foto che pubblichi sono provocanti.,"Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, tale frase implica che la persona che pubblica le foto debba conformarsi a un certo standard imposto dall'altra persona, ignorando il suo diritto all'autonomia e all'espressione individuale. Inoltre, l'uso del termine ""provocante"" può implicare una condanna morale o una percezione negativa del comportamento, creando sentimenti di vergogna o colpa nella persona che pubblica le foto.",1,1,C,1(0),C(0),1,E,1 1 C 1(0) C(0) 1 E,1 1 C 1 C 1 E,
0,Puedes hablar?,Puoi parlare?,,0,0,0,1(0),C(0),0,0,,,
0,"No me importa no te preocupes,confio en ti.","Non mi importa, non preoccuparti, mi fido di te.",,0,1(0),D(0),0,0,0,0,,,
0,Sal y disfruta no te preocupes por mi,"Esci e divertiti, non preoccuparti per me.",,0,1(0),D(0),0,0,0,0,,,
0,"Conozco a su familia y amigos, y él a la mia","Conosco la sua famiglia e i suoi amici, e lui conosce la mia.",,0,0,0,0,0,0,0,,,
0,Las cosas importantes las compartimos,Condividiamo le cose importanti.,,0,0,0,0,0,0,0,,,
0,Eres libre de publicar lo que quieras,Sei libero di pubblicare ciò che vuoi.,,0,0,0,1(0),C(0),0,0,,,
1,Le explico las cosas y me da la razón como a los tontos,Gli spiego come stanno le cose e lui mi dà ragione come si fa con i matti.,"Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. In particolare, dare falsamente ragione al proprio partner implica un disprezzo e una svalutazione della sua opinione e delle sue emozioni. Inoltre, il fatto che la persona si aspetti che il partner acconsenta ciecamente e senza pensare alle sue opinioni o alle sue spiegazioni indica un atteggiamento dominante e autoritario.",1,1,C,0,0,0(1),0(E),1 1 C 0 0 0(1) 0(E),1 1 C 0 0 0 0,
1,Cada vez que salgo me pregunta cada dos por tres que donde estoy y con quien,"Ogni volta che esco, mi chiede continuamente dove sono e con chi sono.","Questa frase è tossica perché è un esempio di violenza cyber di tipo Cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, si manifesta un comportamento ossessivo e controllante da parte di uno dei partner all'interno della relazione. Il costante bisogno di sapere dove si trova l'altro e con chi sta indica una mancanza di fiducia e una tendenza al controllo e alla gelosia eccessiva. Questo atteggiamento può creare tensioni e conflitti all'interno della relazione, oltre a minare il senso di autonomia e libertà individuale della persona soggetta al controllo.",1,0,0,1,C,0,0,1 0 0 1 C 0 0,1 0 0 1 C 0 0,
1,No puedo salir solo con mis amigos siempre tiene que estar ella,"Non posso uscire da solo con i miei amici, deve esserci sempre lei.","Questa frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, implica che una persona non può godere di momenti sociali indipendenti senza la presenza del partner, creando una dinamica di dipendenza emotiva e isolamento sociale. Questo tipo di comportamento può portare a una perdita di identità individuale e autonomia all'interno della relazione, oltre a limitare le opportunità di crescita personale e il benessere emotivo. Inoltre, può generare sentimenti di rancore e frustrazione se una persona si sente costretta a rinunciare alla propria autonomia e indipendenza per soddisfare le esigenze del partner.",1,1(0),D(0),0,0,0(1),0(D),1 1(0) D(0) 0 0 0(1) 0(D),1 1 D 0 0 0 0,
1,No me deja dormir con mi hermano,Non mi fa dormire con mio fratello.,"Questa frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, mostra un controllo eccessivo e irragionevole all'interno della relazione. Ogni individuo ha il diritto di mantenere relazioni familiari significative e di decidere con chi vuole trascorrere del tempo, compreso il proprio fratello. Il fatto che un partner tenti di vietare o controllare le interazioni con i membri della famiglia può indicare un comportamento manipolativo e possessivo.",1,1(0),D(0),0,0,0(1),0(D),1 1(0) D(0) 0 0 0(1) 0(D),1 1 D 0 0 0 0,
1,Ella me almacena el dinero que ganamos los dos y yo no tengo acceso a verlo,Lei conserva i soldi che guadagniamo entrambi e io non posso usarli.,"Questa frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, il fatto che una persona conservi i soldi guadagnati da entrambi senza consentire all'altra persona di vederli o partecipare alle decisioni finanziarie implica un controllo esercitato unilateralmente. Questo comportamento può generare sentimenti di impotenza, dipendenza economica e mancanza di fiducia nella relazione.",1,1(0),D(0),0,0,0(1),0(E),1 1(0) D(0) 0 0 0(1) 0(E),1 1 D 0 0 0 0,
1,Tiene celos de las chicas que me miran,è gelosa delle ragazze che mi guardano.,"Questa frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, evidenzia insicurezza e possessività nella relazione, minando la fiducia reciproca e limitando la libertà individuale.",1,1(0),D(0),0,0,0(1),0(E),1 1(0) D(0) 0 0 0(1) 0(E),1 1 D 0 0 0 0,
1,No me puede ver en línea conectado sino es porque estoy hablando con ella,Non vuole che io sia online se non sto parlando con lei.,"Questa frase è tossica perché è un esempio di violenza cyber di tipo Cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, limitare il tempo online solo al fine di comunicare con il partner suggerisce una mancanza di fiducia e un bisogno di costante attenzione, creando uno squilibrio nella relazione e minando la libertà individuale.",1,0,0,1,C,0(1),0(D),1 0 0 1 C 0(1) 0(D),1 0 0 1 C 0 0,
1,No me deja ir al ginecólogo,Non mi fa andare dal ginecologo.,"Questa frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, limitare l'accesso alla cura medica, come una visita dal ginecologo, può mettere a rischio la salute fisica e mentale della persona e indicare un atteggiamento di controllo e manipolazione all'interno della relazione.",1,1(0),D(0),0,0,0(1),0(D),1 1(0) D(0) 0 0 0(1) 0(D),1 1 D 0 0 0 0,
1,No puede subir nada a instagram,Non posso postare niente su Instagram.,"Questa frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, limitare la libertà di esprimersi sui social media può indicare una mancanza di fiducia e un desiderio di esercitare potere sulla vita digitale del partner. Questo comportamento può generare risentimento, isolamento e minare la fiducia reciproca, compromettendo la salute della relazione.",1,0,0,1,C,0(1),0(D),1 0 0 1 C 0(1) 0(D),1 0 0 1 C 0 0,
1,Tiene la llave de mi armario,Ha la chiave del mio armadio.,"Questa frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, l'idea che una persona abbia accesso diretto e senza restrizioni agli oggetti personali dell'altra può generare una sensazione di invasione della privacy e una perdita di autonomia. Questo tipo di dinamica può minare la fiducia reciproca e creare uno squilibrio di potere dannoso all'interno della relazione.",1,1(0),D(0),0,0,0(1),0(D),1 1(0) D(0) 0 0 0(1) 0(D),1 1 D 0 0 0 0,
1,Me bloquea a las chicas de mi instagram y solo sigo a chicos,Mi blocca le ragazze su Instagram e posso seguire solo ragazzi.,"Questa frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, il blocco delle ragazze su Instagram e il permesso di seguire solo ragazzi indicano un tentativo di manipolare e limitare le interazioni sociali della persona coinvolta. Questo tipo di comportamento suggerisce una mancanza di fiducia nel partner e può portare a sentimenti di isolamento, risentimento e scarsa autostima nell'altra persona.",1,0,0,1,C,0(1),0(D),1 0 0 1 C 0(1) 0(D),1 0 0 1 C 0 0,
0,Le explico y cuando me entiende me da la razón,Gli spiego la situazione e quando mi capisce mi dà ragione.,,0,0,0,0,0,0(1),D,,,
0,Mi amigo me ve mis nuevas zapatillas y le encantan,Il mio amico ha visto le mie scarpe nuove e gli sono piaciute molto.,,0,0,0,0,0,0,0,,,
0,"Mi amigo está muy feliz por su nueva novia, es él mismo siempre","Il mio amico è molto felice con la sua nuova fidanzata, è sempre se stesso.",,0,0,0,0,0,0,0,,,
0,Salgo con libertad y confiando en mi,Esco con libertà e fiducia in me stessa.,,0,1(0),D(0),0,0,0,0,,,
0,Puedo salir con mis amigos estando y sin estar ella,"Posso uscire con i miei amici, con o senza di lei.",,0,1(0),D(0),0,0,0,0,,,
0,Puedo dormir con cualquier familiar,Posso dormire con qualsiasi parente.,,0,1(0),D(0),0,0,0,0,,,
0,En nuestra cuenta tenemos acceso los dos,Abbiamo entrambi accesso al nostro conto.,,0,0,0,1(0),C(0),0,0,,,
0,Me puede mirar quien quiera que no pasa nada,"Mi può guardare chiunque, non succede nulla.",,0,1(0),D(0),0,0,0,0,,,
0,Puedo estar en línea hablando con quien quiera respetándola,Posso essere online e parlare con chiunque.,,0,0,0,1,C,0,0,,,
0,Si voy al médico se ofrece a acompañarme,"Se vado dal medico, si offre di accompagnarmi.",,0,0,0,0,0,0(1),0(D),,,
0,Puedo subir lo que yo quiera,Posso pubblicare ciò che voglio.,,0,0,0,1,C,0,0,,,
0,El armario se le echa la llave solo cuando nos vamos de vacaciones,L'armadio viene chiuso a chiave solo quando andiamo in vacanza.,,0,1(0),D(0),0,0,0,0,,,
0,"Si tiene dudas y le explico las cosas, cree en mi palabra","Se ha dubbi e gli spiego le cose, mi crede sulla parola.",,0,0,0,0,0,0(1),D(0),,,
0,Puedo seguir a quien quiera,Posso seguire sui social chiunque voglia.,,0,0,0,1,C,0,0,,,
1,"Su chica mira antes de dormir donde ha dejado su pareja el coche y cuando se despierta, va a mirar si sigue en el mismo lugar","La sua ragazza prima di dormire guarda dove ha lasciato l'auto il suo ragazzo e quando si sveglia, va a vedere se è ancora nello stesso posto.","Questa frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, tale frase indica che uno dei partner ha un livello eccessivo di gelosia e sospetto verso l'altro, arrivando al punto di monitorare le azioni e i movimenti dell'altro partner in modo invasivo. Questo comportamento promuove un clima di controllo e manipolazione, dove uno dei partner cerca di esercitare un dominio e un potere eccessivi sull'altro.",1,1(0),D(0),0(1),0(C),0(1),0(D),1 1(0) D(0) 0(1) 0(C) 0(1) 0(D),1 1 D 0 0 0 0,
1,Le lleva las cuentas de todo lo que compra,Lui tiene traccia di tutto ciò che lei compra.,"Questa frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, tenere traccia di ogni acquisto di una persona implica una mancanza di fiducia e rispetto per la sua privacy e autonomia finanziaria. Questo comportamento può far sentire la persona monitorata intrappolata e priva di libertà, generando ansia e tensione nella relazione.",1,1(0),D(0),0,0,0(1),0(E),1 1(0) D(0) 0 0 0(1) 0(E),1 1 D 0 0 0 0,
1,Una chica se instala una aplicación para intentar saber donde esta su chico teniendo el control total sobre su ubicación a tiempo real,Una ragazza ha installato un'app per cercare di sapere dove si trova il suo ragazzo e controllare la sua posizione in tempo reale.,"Questa frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, il monitoraggio costante della posizione del partner attraverso un'app denota un alto grado di controllo e possessività, creando un clima di sospetto e insicurezza.",1,0,0,1,C,0(1),0(D),1 0 0 1 C 0(1) 0(D),1 0 0 1 C 0 0,
1,Siempre nos echamos la culpa mutuamente ,Ci accusiamo reciprocamente.,"Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo.  Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, questa frase indica una comunicazione tossica all'interno di una relazione, alimentando un ciclo di accuse reciproche anziché affrontare i problemi con empatia. La mancanza di comprensione e l'ostilità risultante possono minare la fiducia e danneggiare il legame emotivo tra le persone coinvolte.",1,1(0),C(0),0,0,1,E,1 1(0) C(0) 0 0 1 E,1 1 C 0 0 1 E,
1,A veces no puedo evitar insultarle cuando estamos discutiendo,A volte non riesco a evitare di insultarlo quando discutiamo.,"Questa frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo.  Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, suggerisce un mancato controllo emotivo durante le discussioni, che può sfociare in comportamenti dannosi e lesivi per l'altra persona. Insultare il partner durante un conflitto crea un ambiente tossico e distruttivo, minando la fiducia e il rispetto reciproci.",1,1(0),C(0),0,0,1,E(D),1 1(0) C(0) 0 0 1 E(D),1 1 C 0 0 1 E,
1,"Varias veces al día se miran el móvil revisando chats, historial de internet…","Più volte al giorno controlliamo i nostri telefoni, verificando chat, cronologia di Internet...","Questa frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, tale frase riflette una mancanza di fiducia reciproca indicando una ricerca ossessiva di conferme o di segni di tradimento, creando un clima di sospetto e insicurezza.",1,0,0,1(0),C(0),0(1),0(D),1 0 0 1(0) C(0) 0(1) 0(D),1 0 0 1 C 0 0,
1,"Si venía una repartidora de pizzas, siempre iba mi novia a abrir la puerta","Se arriva una ragazza a consegnare la pizza, la mia ragazza corre sempre lei ad aprire la porta.","Questa frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, tale frase indica una malsana gelosia da parte della compagna la quale proibisce al partner di interagire con altre ragazze.",1,1(0),D(0),0,0,0(1),0(D),1 1(0) D(0) 0 0 0(1) 0(D),1 1 D 0 0 0 0,
1,Una amiga se hizo una cuenta falsa de Instagram y siguió a su chico para ver si si chico intentaba ligar con otras chicas,Un'amica ha creato un account falso su Instagram e ha seguito il suo ragazzo per vedere se ci provava con altre ragazze.,"Questa frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, creare un account falso dimostra una mancanza di trasparenza e rispetto nei confronti del partner. Invece di affrontare i dubbi o le preoccupazioni direttamente, si sceglie di agire in modo segreto e manipolativo, minando la fiducia su cui dovrebbe basarsi ogni relazione sana.",1,0,0,1,C,0(1),0(D),1 0 0 1 C 0(1) 0(D),1 0 0 1 C 0 0,
