Prompt,Contesto,Esempio,Accept,Reject
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Sei proprio una bambina, piangi per qualsiasi cosa.",Piangi per qualsiasi cosa.,"In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla. In particolare, denigra il partner ridicolizzando le sue esternazioni emotive.","In questo contesto la frase non è tossica perché, in un contesto di relazione sana, esprime comprensione e sostegno verso le emozioni del partner. Non contiene offese né denigrazione e riconosce la sensibilità dell’altra persona senza intento aggressivo."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Non ti preoccupare se piangi per qualsiasi cosa, sei solo più sensibile di altre persone.",Piangi per qualsiasi cosa.,"In questo contesto la frase non è tossica perché, in un contesto di relazione sana, esprime comprensione e sostegno verso le emozioni del partner. Non contiene offese né denigrazione e riconosce la sensibilità dell’altra persona senza intento aggressivo.","In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla. In particolare, denigra il partner ridicolizzando le sue esternazioni emotive."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",La mia ragazza è gelosa e ossessiva nei confronti delle mie amiche.,"Che affettuosa la tua ""amichetta"", sicuramente ha una cotta per te e tu ti lasci toccare.","In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, cerca di colpevolizzare il partner caricandolo di responsabilità riguardo ipotetiche relazioni sentimentali che si sarebbero instaurate tra la vittima e un soggetto esterno, col quale ipotizza anche contatti di tipo fisico. ",In questo contesto la frase non è tossica perché esprime leggerezza senza intenzione di offendere o manipolare il partner. Non contiene minacce né offese e serve a comunicare in tono affettuoso e rispettoso.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",La mia ragazza mi prende in giro ironicamente riguardo alle mie amicizie.,"Che affettuosa la tua ""amichetta"", sicuramente ha una cotta per te e tu ti lasci toccare.",In questo contesto la frase non è tossica perché esprime leggerezza senza intenzione di offendere o manipolare il partner. Non contiene minacce né offese e serve a comunicare in tono affettuoso e rispettoso.,"In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, cerca di colpevolizzare il partner caricandolo di responsabilità riguardo ipotetiche relazioni sentimentali che si sarebbero instaurate tra la vittima e un soggetto esterno, col quale ipotizza anche contatti di tipo fisico. "
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Ho lasciato il mio ragazzo dopo aver scoperto di essere stata tradita.,"Sono un idiota, è normale che non vuoi stare con me, ma ti amo e lotterò per meritarti e tu devi aiutarmi.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, manipola le emozioni della persona, inducendola a sentirsi responsabile della felicità del partner. L'autodegradazione seguita dalla richiesta di aiuto mette la persona in una posizione di potere e controllo, minando il suo senso di autonomia e facendola sentire in colpa se decidesse di troncare la relazione.","In questo contesto la frase non è tossica perché, nel contesto di una relazione sana e dopo una discussione, esprime pentimento, amore e desiderio di riparare il rapporto. L’autodegradazione e la richiesta di supporto sono manifestazioni di vulnerabilità e comunicazione affettiva, senza intento manipolativo o coercitivo nei confronti del partner."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Dopo un'accesa discussione, il mio ragazzo si è pentito e mi ha detto di amarmi.","Sono un idiota, è normale che non vuoi stare con me, ma ti amo e lotterò per meritarti e tu devi aiutarmi.","In questo contesto la frase non è tossica perché, nel contesto di una relazione sana e dopo una discussione, esprime pentimento, amore e desiderio di riparare il rapporto. L’autodegradazione e la richiesta di supporto sono manifestazioni di vulnerabilità e comunicazione affettiva, senza intento manipolativo o coercitivo nei confronti del partner.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, manipola le emozioni della persona, inducendola a sentirsi responsabile della felicità del partner. L'autodegradazione seguita dalla richiesta di aiuto mette la persona in una posizione di potere e controllo, minando il suo senso di autonomia e facendola sentire in colpa se decidesse di troncare la relazione."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo vuole sempre sapere con chi sono.,Chi c'è? Ci sono ragazzi? Mandami una foto.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio o controllo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia, inducendo nella vittima un senso di ansia verso qualsivoglia attività che non includa il partner. ","In questo contesto la frase non è tossica perché, in una relazione sentimentale, può essere espressione di preoccupazione o curiosità verso il partner. La richiesta di una foto può avere un intento protettivo o affettuoso, ad esempio per accertarsi che l’altra persona stia bene."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo si preoccupa per la mia sicurezza quando esco la sera.,Chi c'è? Ci sono ragazzi? Mandami una foto.,"In questo contesto la frase non è tossica perché, in una relazione sentimentale, può essere espressione di preoccupazione o curiosità verso il partner. La richiesta di una foto può avere un intento protettivo o affettuoso, ad esempio per accertarsi che l’altra persona stia bene.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio o controllo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia, inducendo nella vittima un senso di ansia verso qualsivoglia attività che non includa il partner. "
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo vuole conoscere le mie password per controllare il mio telefono.,"Il mio ragazzo mi dice che se non ho nulla da nascondere e c'è fiducia tra noi, dovrei dargli tutte le password.","In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia.","In questo contesto la frase non è tossica perché, in un contesto di fiducia reciproca, la condivisione delle password può essere interpretata come un gesto di trasparenza e premura, privo di intenzioni di controllo o violazione della privacy."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo vuole conoscere le mie password perché sa che rischio di scordarmele.,"Il mio ragazzo mi dice che se non ho nulla da nascondere e c'è fiducia tra noi, dovrei dargli tutte le password.","In questo contesto la frase non è tossica perché, in un contesto di fiducia reciproca, la condivisione delle password può essere interpretata come un gesto di trasparenza e premura, privo di intenzioni di controllo o violazione della privacy.","In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo sminuisce le mie capacità.,Una donna non è qualificata per fare certe cose.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico.  In particolare, perpetua stereotipi di genere e discriminazione, negando il valore e le capacità delle donne in ambiti specifici. Rafforzando l'idea che il genere determini le competenze, questa affermazione limita le opportunità e il potenziale delle donne, contribuendo a una cultura di disuguaglianza e oppressione.","In questo contesto la frase non è tossica perché, nel contesto di una relazione sana, può essere un commento sulle capacità del partner senza intenzione di sminuirlo o controllarlo."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Poichè il mio sogno è lavorare in Formula 1, il mio ragazzo mi prende in giro ironicamente sulle mie capacità dato che è un mondo prettamente maschile.",Una donna non è qualificata per fare certe cose.,"In questo contesto la frase non è tossica perché, nel contesto di una relazione sana, può essere un commento sulle capacità del partner senza intenzione di sminuirlo o controllarlo.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico.  In particolare, perpetua stereotipi di genere e discriminazione, negando il valore e le capacità delle donne in ambiti specifici. Rafforzando l'idea che il genere determini le competenze, questa affermazione limita le opportunità e il potenziale delle donne, contribuendo a una cultura di disuguaglianza e oppressione."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Il mio ragazzo mi incolpa sempre quando qualcosa va storto, facendomi sentire responsabile dei suoi fallimenti.",Mi fa notare quando le cose non vanno come vorrebbe.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, carica la vittima della responsabilità delle conseguenze delle azioni del partner, al fine di influenzarne lo stato emotivo. ","In questo contesto la frase non è tossica perché, nell'ambito di una relazione di coppia, è legittimo pensare che fallimenti e successi individuali debbano essere condivisi, senza l’intento di manipolare o controllare il partner."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Il mio ragazzo mi fa notare quando le cose non vanno come sperava, per aiutarmi a capire come migliorare insieme.",Mi fa notare quando le cose non vanno come vorrebbe.,"In questo contesto la frase non è tossica perché, nell'ambito di una relazione di coppia, è legittimo pensare che fallimenti e successi individuali debbano essere condivisi, senza l’intento di manipolare o controllare il partner.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, carica la vittima della responsabilità delle conseguenze delle azioni del partner, al fine di influenzarne lo stato emotivo. "
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",La mia ragazza controlla il mio ultimo accesso sui social.,La mia ragazza preferisce che io sia online solo quando parliamo.,"In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo Cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, limitare il tempo online solo al fine di comunicare con il partner suggerisce una mancanza di fiducia e un bisogno di costante attenzione, creando uno squilibrio nella relazione e minando la libertà individuale.","In questo contesto la frase non è tossica perché, in un contesto di relazione sana, è legittimo chiedere attenzione reciproca nella comunicazione online. La richiesta di essere online solo quando è possibile parlare insieme può favorire chiarezza, prevenire fraintendimenti e contribuire a una percezione di equilibrio nella coppia."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",La mia ragazza mi chiede di essere online solo quando possiamo parlare insieme e non ho altro da fare per evitare distrazioni.,La mia ragazza preferisce che io sia online solo quando parliamo.,"In questo contesto la frase non è tossica perché, in un contesto di relazione sana, è legittimo chiedere attenzione reciproca nella comunicazione online. La richiesta di essere online solo quando è possibile parlare insieme può favorire chiarezza, prevenire fraintendimenti e contribuire a una percezione di equilibrio nella coppia.","In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo Cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, limitare il tempo online solo al fine di comunicare con il partner suggerisce una mancanza di fiducia e un bisogno di costante attenzione, creando uno squilibrio nella relazione e minando la libertà individuale."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Non credo che tu debba uscire con quella ragazza, è una troia.",Non credo che tu debba uscire con quella ragazza.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, denota un atteggiamento possessivo e controllante all'interno della relazione, privando la persona della sua autonomia e libertà individuale.","In questo contesto la frase non è tossica perché, in una relazione sana, esprime semplicemente preoccupazione per il partner. La richiesta di non uscire con quella persona nasce dall’intento di tutelare il benessere del partner, senza voler limitare l’autonomia o controllare l’altro."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Ho saputo che ti ha parlato alle spalle, non credo che tu debba uscire con quella ragazza.",Non credo che tu debba uscire con quella ragazza.,"In questo contesto la frase non è tossica perché, in una relazione sana, esprime semplicemente preoccupazione per il partner. La richiesta di non uscire con quella persona nasce dall’intento di tutelare il benessere del partner, senza voler limitare l’autonomia o controllare l’altro.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, denota un atteggiamento possessivo e controllante all'interno della relazione, privando la persona della sua autonomia e libertà individuale."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Smettila di frignare sempre, così nessuno ti vorrà.",Così nessuno ti vorrà.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, mina l'autostima e la fiducia della persona a cui è rivolta. Implica che il valore di qualcuno dipenda dall'approvazione degli altri, alimentando insicurezze e dipendenza emotiva.",In questo contesto la frase non è tossica perché il partner può commentare abilità o limiti del partner in un ambito specifico senza intenzione di sminuire o offendere.
